InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
572553,37448,CERAMIC CAKE DESIGN SPOTTED MUG,1,2011-10-24 17:09,3.29,,United Kingdom
570863,22730,ALARM CLOCK BAKELIKE IVORY,8,2011-10-12 15:39,3.75,15144.0,United Kingdom
547772,22445,PENCIL CASE LIFE IS BEAUTIFUL,1,2011-03-25 11:34,2.95,17979.0,United Kingdom
538638,90078,PINK/WHITE GLASS DEMI CHOKER,2,2010-12-13 14:16,7.5,17231.0,United Kingdom
537395,21874,GIN AND TONIC MUG,3,2010-12-06 14:05,1.25,15356.0,United Kingdom
569202,22365,DOORMAT RESPECTABLE HOUSE,1,2011-09-30 17:22,15.79,,United Kingdom
571714,20733,GOLD MINI TAPE MEASURE ,1,2011-10-18 17:00,0.83,,United Kingdom
538852,22810,SET OF 6 T-LIGHTS SNOWMEN,3,2010-12-14 13:33,2.95,17372.0,United Kingdom
538382,22532,MAGIC DRAWING SLATE LEAP FROG ,2,2010-12-12 11:37,0.42,17218.0,United Kingdom
570177,22736,RIBBON REEL MAKING SNOWMEN ,10,2011-10-07 14:17,1.65,17509.0,United Kingdom
550498,22979,PANTRY WASHING UP BRUSH,4,2011-04-18 15:14,1.45,14692.0,United Kingdom
563362,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-08-15 16:13,2.95,15114.0,United Kingdom
573829,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-11-01 11:35,1.65,16830.0,United Kingdom
578270,21367,MIRRORED WALL ART GENTS,1,2011-11-23 13:39,4.96,14096.0,United Kingdom
578817,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,4,2011-11-25 13:45,2.95,16764.0,United Kingdom
563557,21500,PINK POLKADOT WRAP ,25,2011-08-17 13:33,0.42,15786.0,United Kingdom
575176,21222,SET/4 BADGES BEETLES,1,2011-11-08 18:29,2.46,,United Kingdom
536637,22654,DELUXE SEWING KIT ,1,2010-12-02 11:35,5.95,18041.0,United Kingdom
576236,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,2011-11-14 13:31,1.45,13755.0,United Kingdom
580501,23438, RED SPOT GIFT BAG LARGE,2,2011-12-04 13:00,1.25,14546.0,United Kingdom
547382,22409,MONEY BOX BISCUITS DESIGN,2,2011-03-22 15:31,1.25,15457.0,United Kingdom
569215,22091,EMPIRE TISSUE BOX,8,2011-10-02 12:30,0.39,13571.0,United Kingdom
538879,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2010-12-14 15:50,0.29,15392.0,United Kingdom
565286,22456,NATURAL SLATE CHALKBOARD LARGE ,2,2011-09-02 11:39,9.96,,United Kingdom
576778,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2011-11-16 13:24,8.95,16085.0,United Kingdom
563753,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-08-19 10:51,0.42,12513.0,France
567662,23284,DOORMAT KEEP CALM AND COME IN,3,2011-09-21 15:12,8.25,17758.0,United Kingdom
549023,22534,MAGIC DRAWING SLATE SPACEBOY ,1,2011-04-05 16:27,0.83,,United Kingdom
580672,22547,MINI JIGSAW DINOSAUR ,3,2011-12-05 14:29,0.19,17920.0,United Kingdom
563195,22545,MINI JIGSAW BUNNIES,2,2011-08-12 16:36,0.83,,United Kingdom
550542,22508,DOORSTOP RETROSPOT HEART,1,2011-04-19 11:37,7.46,,United Kingdom
572873,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,12,2011-10-26 13:27,1.65,12820.0,United Kingdom
567901,22440,BALLOON WATER BOMB PACK OF 35,3,2011-09-22 16:28,0.83,,United Kingdom
543820,22523,CHILDS GARDEN FORK PINK,1,2011-02-13 16:05,0.85,16084.0,United Kingdom
580054,22138,BAKING SET 9 PIECE RETROSPOT ,2,2011-12-01 13:08,4.95,18122.0,United Kingdom
537775,21498,RED RETROSPOT WRAP ,25,2010-12-08 12:41,0.42,17722.0,United Kingdom
557221,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1,2011-06-17 13:01,4.15,16869.0,United Kingdom
557141,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-06-17 9:54,1.65,16779.0,United Kingdom
550439,22505,MEMO BOARD COTTAGE DESIGN,2,2011-04-18 12:17,4.95,18231.0,United Kingdom
543476,22854,CREAM SWEETHEART EGG HOLDER,4,2011-02-08 15:24,4.95,13050.0,United Kingdom
552265,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-05-08 11:41,1.69,14161.0,United Kingdom
578995,85152,HAND OVER THE CHOCOLATE   SIGN ,4,2011-11-27 15:59,2.1,15861.0,United Kingdom
555502,22501,PICNIC BASKET WICKER LARGE,2,2011-06-03 15:37,9.95,,United Kingdom
554489,21704,BAG 250g SWIRLY MARBLES,12,2011-05-24 13:46,0.85,17272.0,United Kingdom
574063,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,2011-11-02 14:31,2.95,13271.0,United Kingdom
565917,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,1,2011-09-07 16:15,0.83,,United Kingdom
550615,21122,SET/10 PINK POLKADOT PARTY CANDLES,5,2011-04-19 12:41,1.25,16730.0,United Kingdom
559792,21067,,-66,2011-07-12 12:31,0.0,,United Kingdom
541204,85130D,BEADED CRYSTAL HEART PINK LARGE,12,2011-01-14 12:22,1.65,14175.0,United Kingdom
580879,84519B,CARROT CHARLIE+LOLA COASTER SET,1,2011-12-06 12:18,1.25,17346.0,United Kingdom
537201,21915,RED  HARMONICA IN BOX ,24,2010-12-05 14:19,1.25,12472.0,Germany
544928,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-02-24 18:07,2.95,,United Kingdom
567526,21524,DOORMAT SPOTTY HOME SWEET HOME,50,2011-09-21 9:06,7.08,12435.0,Denmark
537240,21900,"KEY FOB , SHED",3,2010-12-06 10:08,1.66,,United Kingdom
576075,22355,CHARLOTTE BAG SUKI DESIGN,6,2011-11-13 16:16,0.85,15861.0,United Kingdom
569220,21380,WOODEN HAPPY BIRTHDAY GARLAND,4,2011-10-02 13:26,2.95,16007.0,United Kingdom
569943,23194,GYMKHANA TREASURE BOOK BOX,1,2011-10-06 18:08,2.25,14592.0,United Kingdom
549295,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-04-07 19:49,1.24,,United Kingdom
562046,23000,TRAVEL CARD WALLET TRANSPORT,24,2011-08-02 10:34,0.42,12378.0,Switzerland
554376,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-05-24 11:31,1.65,15719.0,United Kingdom
564168,21385,IVORY HANGING DECORATION  HEART,1,2011-08-23 13:51,0.85,16794.0,United Kingdom
579456,22163,HEART STRING MEMO HOLDER HANGING,2,2011-11-29 14:20,0.79,13428.0,United Kingdom
570680,85099B,JUMBO BAG RED RETROSPOT,10,2011-10-11 15:36,2.08,13969.0,United Kingdom
559061,22988,SOLDIERS EGG CUP ,6,2011-07-06 10:04,1.25,17220.0,United Kingdom
556733,22996,TRAVEL CARD WALLET VINTAGE TICKET,10,2011-06-14 11:53,0.42,16919.0,United Kingdom
556721,21770,OPEN CLOSED METAL SIGN,1,2011-06-14 11:23,4.95,15218.0,United Kingdom
546988,22960,JAM MAKING SET WITH JARS,6,2011-03-18 12:57,4.25,14194.0,United Kingdom
551201,16015,,-620,2011-04-27 11:33,0.0,,United Kingdom
566164,21232,STRAWBERRY CERAMIC TRINKET BOX,13,2011-09-09 11:56,3.29,,United Kingdom
559316,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,2011-07-07 13:54,0.55,12647.0,Germany
542617,48184,DOORMAT ENGLISH ROSE ,1,2011-01-30 15:48,7.95,17463.0,United Kingdom
573580,22456,NATURAL SLATE CHALKBOARD LARGE ,3,2011-10-31 14:21,9.96,,United Kingdom
550983,22866,,4,2011-04-21 17:34,0.0,,United Kingdom
558028,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-06-24 11:39,1.25,15128.0,United Kingdom
540646,85103,SILVER T-LIGHT SETTING,1,2011-01-10 14:32,5.91,,United Kingdom
557892,23300,GARDENERS KNEELING PAD CUP OF TEA ,4,2011-06-23 14:11,1.65,14534.0,United Kingdom
545582,22083,PAPER CHAIN KIT RETROSPOT,40,2011-03-04 9:05,2.55,13694.0,United Kingdom
557397,23049,RECYCLED ACAPULCO MAT RED,1,2011-06-20 11:23,8.25,17897.0,United Kingdom
560580,22644,CERAMIC CHERRY CAKE MONEY BANK,60,2011-07-19 15:23,1.25,14088.0,United Kingdom
557560,23284,DOORMAT KEEP CALM AND COME IN,2,2011-06-21 10:37,7.95,15329.0,United Kingdom
547699,21143,,-32,2011-03-24 16:38,0.0,,United Kingdom
544833,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-02-24 10:10,1.45,15974.0,United Kingdom
571282,22477,WATERING CAN GARDEN MARKER,1,2011-10-16 13:24,1.25,15545.0,United Kingdom
537237,84378,SET OF 3 HEART COOKIE CUTTERS,1,2010-12-06 9:58,2.51,,United Kingdom
571183,21070,VINTAGE BILLBOARD MUG ,3,2011-10-14 11:08,1.25,14796.0,United Kingdom
551268,37413,ICON MUG REVOLUTIONARY,1,2011-04-27 12:08,0.39,16965.0,United Kingdom
578940,22730,ALARM CLOCK BAKELIKE IVORY,2,2011-11-27 13:18,8.29,,United Kingdom
577359,82494L,WOODEN FRAME ANTIQUE WHITE ,2,2011-11-18 16:07,2.95,14903.0,United Kingdom
568094,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-09-23 14:43,0.85,15807.0,United Kingdom
576860,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,5,2011-11-16 15:58,0.55,17602.0,United Kingdom
546189,23194,GYMKHANA TREASURE BOOK BOX,8,2011-03-10 10:56,2.25,13102.0,United Kingdom
555566,21936,RED RETROSPOT PICNIC BAG,3,2011-06-05 15:19,2.95,14659.0,United Kingdom
560393,22233,JIGSAW RABBIT AND BIRDHOUSE,1,2011-07-18 13:33,0.59,14808.0,United Kingdom
575947,20679,EDWARDIAN PARASOL RED,1,2011-11-13 11:50,12.46,,United Kingdom
568671,23351,ROLL WRAP 50'S CHRISTMAS,12,2011-09-28 13:13,1.25,13139.0,United Kingdom
572484,22481,BLACK TEA TOWEL CLASSIC DESIGN,6,2011-10-24 13:50,1.25,17220.0,United Kingdom
C570099,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2011-10-07 12:11,8.5,13798.0,United Kingdom
551390,21204,DAISIES  HONEYCOMB GARLAND ,12,2011-04-28 12:03,1.65,15143.0,United Kingdom
575748,20724,RED RETROSPOT CHARLOTTE BAG,54,2011-11-11 10:21,2.46,,United Kingdom
541263,22969,HOMEMADE JAM SCENTED CANDLES,60,2011-01-16 16:10,1.45,16843.0,United Kingdom
555743,21794,CLASSIC FRENCH STYLE BASKET NATURAL,8,2011-06-07 10:42,3.95,12868.0,United Kingdom
566602,84978,HANGING HEART JAR T-LIGHT HOLDER,16,2011-09-13 16:05,2.46,,United Kingdom
580305,23351,ROLL WRAP 50'S CHRISTMAS,2,2011-12-02 14:26,1.25,12970.0,United Kingdom
554809,23144,ZINC T-LIGHT HOLDER STARS SMALL,12,2011-05-26 13:13,0.83,16838.0,United Kingdom
544928,22980,PANTRY SCRUBBING BRUSH,1,2011-02-24 18:07,3.29,,United Kingdom
570410,22555,PLASTERS IN TIN STRONGMAN,2,2011-10-10 13:04,1.65,16776.0,United Kingdom
550209,21172,PARTY METAL SIGN ,1,2011-04-15 10:39,4.13,,United Kingdom
580153,22396,MAGNETS PACK OF 4 RETRO PHOTO,12,2011-12-02 10:23,0.39,12762.0,Portugal
539437,21165,BEWARE OF THE CAT METAL SIGN ,2,2010-12-17 14:54,4.21,,United Kingdom
556095,20711,JUMBO BAG TOYS ,5,2011-06-08 15:27,4.13,,United Kingdom
575969,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20,2011-11-13 12:47,0.29,13571.0,United Kingdom
553661,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,2011-05-18 11:59,2.95,13572.0,United Kingdom
562420,20712,JUMBO BAG WOODLAND ANIMALS,1,2011-08-04 16:38,4.13,,United Kingdom
555843,22627,MINT KITCHEN SCALES,2,2011-06-07 13:00,8.5,12584.0,Italy
570500,22816,CARD MOTORBIKE SANTA,12,2011-10-11 9:19,0.42,15858.0,United Kingdom
575176,23484,HEART TRELLIS TRIPLE T-LIGHT HOLDER,1,2011-11-08 18:29,5.79,,United Kingdom
552857,22498,WOODEN REGATTA BUNTING,1,2011-05-11 15:34,12.46,,United Kingdom
543989,22382,LUNCH BAG SPACEBOY DESIGN ,100,2011-02-15 9:52,1.45,12415.0,Australia
557006,21749,LARGE RED RETROSPOT WINDMILL,6,2011-06-16 11:29,2.1,14282.0,United Kingdom
551849,23126,FELTCRAFT GIRL AMELIE KIT,4,2011-05-04 14:33,4.95,16258.0,United Kingdom
563328,21467,CHERRY CROCHET FOOD COVER,1,2011-08-15 13:07,3.75,14606.0,United Kingdom
564661,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-08-26 14:45,3.75,12948.0,United Kingdom
557787,21917,SET 12 KIDS  WHITE CHALK STICKS,1,2011-06-22 16:16,0.42,15041.0,United Kingdom
548509,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2011-03-31 15:00,2.95,14543.0,United Kingdom
565233,20700,GREEN CAT FLORAL CUSHION COVER ,1,2011-09-02 9:34,4.13,,United Kingdom
555515,22193,RED DINER WALL CLOCK,1,2011-06-05 10:47,8.5,17690.0,United Kingdom
556259,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,2011-06-09 17:53,3.75,12721.0,France
543538,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,2011-02-09 13:57,3.75,16143.0,United Kingdom
545188,22561,WOODEN SCHOOL COLOURING SET,1,2011-02-28 15:19,1.65,14056.0,United Kingdom
554098,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2,2011-05-22 13:01,2.95,14769.0,United Kingdom
562843,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-08-09 17:37,16.63,,United Kingdom
577557,84792,ENCHANTED BIRD COATHANGER 5 HOOK,3,2011-11-20 15:36,4.65,15426.0,United Kingdom
541844,22569,FELTCRAFT CUSHION BUTTERFLY,1,2011-01-23 12:19,3.75,16931.0,United Kingdom
543820,22444,GROW YOUR OWN PLANT IN A CAN ,16,2011-02-13 16:05,1.25,16084.0,United Kingdom
560555,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,12,2011-07-19 13:01,0.18,14178.0,United Kingdom
537211,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-05 15:18,2.95,16143.0,United Kingdom
574474,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2011-11-04 12:05,0.85,17979.0,United Kingdom
558682,47566b,TEA TIME PARTY BUNTING,3,2011-07-01 11:20,8.29,,United Kingdom
550958,79030G,TUMBLER NEW ENGLAND,24,2011-04-21 16:37,0.39,15281.0,United Kingdom
570225,22398,MAGNETS PACK OF 4 SWALLOWS,7,2011-10-09 13:15,0.39,16595.0,United Kingdom
580115,22108,PING! MICROWAVE PLATE,2,2011-12-01 16:22,3.29,,United Kingdom
541486,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-01-18 13:15,2.95,18109.0,United Kingdom
560368,22893,MINI CAKE STAND T-LIGHT HOLDER,5,2011-07-18 12:25,0.42,17841.0,United Kingdom
555558,15056BL,EDWARDIAN PARASOL BLACK,1,2011-06-05 14:06,5.95,14159.0,United Kingdom
556959,22784,LANTERN CREAM GAZEBO ,9,2011-06-16 9:17,4.95,16739.0,United Kingdom
547252,21754,HOME BUILDING BLOCK WORD,3,2011-03-22 10:13,5.95,13900.0,United Kingdom
573125,23172,REGENCY TEA PLATE PINK,12,2011-10-27 16:31,1.65,16855.0,United Kingdom
551956,22296,HEART IVORY TRELLIS LARGE,1,2011-05-05 12:22,1.65,15021.0,United Kingdom
563563,20969,RED FLORAL FELTCRAFT SHOULDER BAG,288,2011-08-17 14:03,3.39,16029.0,United Kingdom
578347,22222,CAKE PLATE LOVEBIRD WHITE,1,2011-11-24 9:26,9.96,,United Kingdom
549587,22801,ANTIQUE GLASS PEDESTAL BOWL,4,2011-04-11 10:01,3.75,15737.0,United Kingdom
544467,35810A,ENAMEL PINK COFFEE CONTAINER,1,2011-02-20 15:51,2.1,14502.0,United Kingdom
